sample,sample_ID,time,plot,block,treatment,farming_system,pH ,WC,BD,WHC,PO4_P,total P,total N,total C,C:N,NLFA,root DW,N roots,C roots,crop biomass,plant height,weed cover,N shoots,C shoots
S80,T3.R.42,T3,42,B,R,CONMIN,5.72,7.2,1.31,34.9,9.00E-04,0.79,0.11,1.11,9.71,6.08,76.18,0.9,44.74,17.4,117.75,1,1.38,44.48
S81,T3.C.42,T3,42,B,C,CONMIN,5.76,14.15,1.24,36.29,0.001,0.78,0.12,1.19,9.81,3.02,64.2,0.95,44.62,15.6,118,0,1.3,43.69
S82,T3.RC.48,T3,48,B,RC,BIODYN,6.48,10.94,1.18,40.4,0.0011,0.78,0.16,1.5,9.6,19.52,81.4,0.87,42.62,16.79,122.25,1,0.9,43.36
S83,T3.R.48,T3,48,B,R,BIODYN,6.6,8.91,1.2,39.79,0.0012,0.79,0.17,1.66,9.48,25,110.57,0.81,43.59,16.52,119.75,1,0.81,43.62
S84,T3.C.48,T3,48,B,C,BIODYN,6.43,12.31,1.2,40.55,0.001,0.76,0.15,1.45,9.71,11.42,110.19,0.79,42.47,17.46,119.25,5,1.2,43.55
S85,T3.RC.52,T3,52,C,RC,BIODYN,6.8,14.96,1.13,45.45,0.001,0.82,0.17,1.59,9.53,22.51,103.44,0.96,44.08,19.59,126,2,0.82,43.16
S86,T3.R.52,T3,52,C,R,BIODYN,6.76,8.86,1.21,40.5,9.00E-04,0.77,0.15,1.45,9.41,30.03,88.79,0.86,44.38,18.19,124.5,2,1.1,43.08
S87,T3.C.52,T3,52,C,C,BIODYN,6.6,11.39,1.15,43.54,0.0011,0.79,0.16,1.57,9.54,16.46,110.7,0.8,45.02,16.66,123.5,5,0.83,43.33
S88,T3.RC.58,T3,58,C,RC,CONMIN,5.86,12.16,1.21,38.89,0.0012,0.85,0.13,1.25,9.69,6.32,77.2,0.96,43.38,17.96,111.5,0,1.39,43.42
S89,T3.R.58,T3,58,C,R,CONMIN,5.91,9.06,1.24,38.92,0.001,0.8,0.13,1.2,9.46,5.8,155.29,1.11,43.48,21.62,120.25,0,1.17,41.98
S90,T3.C.58,T3,58,C,C,CONMIN,5.86,14.38,1.28,37.54,0.0012,0.88,0.13,1.28,9.5,4.15,105.61,0.91,43.22,16.23,112,0,1.31,45.85
S91,T3.RC.86,T3,86,D,RC,BIODYN,6.63,11.29,1.29,36.28,0.001,0.88,0.18,1.67,9.26,17.13,83.95,0.69,43.45,17.36,125.5,5,0.89,45.15
S92,T3.R.86,T3,86,D,R,BIODYN,6.56,10.47,1.27,38.24,0.0012,0.91,0.18,1.68,9.28,17.24,109.55,0.87,43.49,22.43,128.75,0,1.16,44.83
S93,T3.C.86,T3,86,D,C,BIODYN,6.75,14.39,1.23,38.79,0.0012,0.9,0.18,1.7,9.36,14.8,91.34,0.8,42.79,20.12,125.75,5,1.13,44.28
S94,T3.RC.92,T3,92,D,RC,CONMIN,5.91,10.13,1.26,36.39,0.0012,0.9,0.14,1.29,9.42,3.23,84.97,1.35,42.88,17.48,116,0,1.52,45.38
S95,T3.R.92,T3,92,D,R,CONMIN,6.22,9,1.22,38.58,0.0011,0.84,0.13,1.25,9.45,10.83,81.15,0.85,43.74,15.66,116.75,0,1.26,45.64
S96,T3.C.92,T3,92,D,C,CONMIN,6.11,10.73,1.27,37.18,0.0011,0.85,0.13,1.27,9.61,6.18,85.48,0.87,42.85,19.38,116.5,0,1.58,45.53
